id,group_id,ability_id,invocation_rate,condition_group_id
1,1,77,25,0
2,1,78,25,0
3,1,79,25,0
4,1,220,25,0
5,1,82,100,14
6,2,50,5,0
7,2,48,5,0
8,2,484,5,0
9,2,485,5,0
10,2,33,15,0
11,2,36,15,0
12,2,39,15,0
13,2,45,15,0
14,2,230,20,0
15,3,57,25,0
16,3,59,74,0
17,3,221,1,0
18,4,231,50,0
19,4,222,50,0
20,5,223,33,0
21,5,224,33,0
22,5,225,33,0
23,6,450,10,0
24,6,451,10,0
25,6,452,10,0
26,6,453,10,0
27,6,454,10,0
28,6,455,10,0
29,6,456,10,0
30,6,457,10,0
31,6,458,10,0
32,6,459,10,0
33,6,220,100,93
34,7,220,100,0
35,8,271,100,0
36,8,220,100,97
37,9,13,0,0
38,9,19,0,0
39,9,25,0,0
40,9,6,0,0
41,9,28,0,0
42,10,65,0,0
43,11,15,0,0
44,11,16,0,0
45,11,7,0,0
46,11,10,0,0
47,11,11,0,0
48,11,27,0,0
49,11,33,0,0
50,11,36,0,0
51,11,39,0,0
52,11,46,0,0
53,11,47,0,0
54,12,210,0,0
55,13,43,0,0
56,13,33,0,0
57,13,36,0,0
58,13,39,0,0
59,13,42,0,0
60,14,85,0,0
61,14,210,0,0
62,15,13,0,0
63,15,14,0,0
64,15,15,0,0
65,15,16,0,0
66,15,17,0,0
67,15,18,0,0
68,15,19,0,0
69,15,20,0,0
70,15,21,0,0
71,15,22,0,0
72,15,23,0,0
73,15,24,0,0
74,15,25,0,0
75,15,6,0,0
76,15,7,0,0
77,15,8,0,0
78,15,9,0,0
79,15,10,0,0
80,15,11,0,0
81,15,12,0,0
82,15,26,0,0
83,15,27,0,0
84,15,28,0,0
85,15,29,0,0
86,15,45,0,0
87,15,51,0,0
88,15,44,0,0
89,15,43,0,0
90,15,33,0,0
91,15,34,0,0
92,15,35,0,0
93,15,36,0,0
94,15,37,0,0
95,15,38,0,0
96,15,39,0,0
97,15,40,0,0
98,15,41,0,0
99,15,48,0,0
100,15,49,0,0
101,15,52,0,0
102,15,42,0,0
103,15,50,0,0
104,15,53,0,0
105,15,46,0,0
106,15,56,0,0
107,15,47,0,0
108,15,54,0,0
109,15,55,0,0
110,16,6,0,0
111,17,13,0,0
112,17,19,0,0
113,17,25,0,0
114,17,6,0,0
115,17,28,0,0
