id,mes_id_name
1,MSG_SYSTEM_236
2,MSG_SYSTEM_237
3,MSG_SYSTEM_238
4,MSG_SYSTEM_236
5,MSG_SYSTEM_237
6,MSG_SYSTEM_236
7,MSG_SYSTEM_237
8,MSG_SYSTEM_238
9,MSG_SYSTEM_400
10,MSG_SYSTEM_238
11,MSG_SYSTEM_236
12,MSG_SYSTEM_237
13,MSG_SYSTEM_238
14,MSG_SYSTEM_236
15,MSG_SYSTEM_237
16,MSG_SYSTEM_238
17,MSG_SYSTEM_236
18,MSG_SYSTEM_237
19,MSG_SYSTEM_238
20,MSG_SYSTEM_236
21,MSG_SYSTEM_237
22,MSG_SYSTEM_238
23,MSG_SYSTEM_401
24,MSG_SYSTEM_236
25,MSG_SYSTEM_237
26,MSG_SYSTEM_238
27,MSG_SYSTEM_236
28,MSG_SYSTEM_237
29,MSG_SYSTEM_238
30,MSG_SYSTEM_238
31,MSG_SYSTEM_236
32,MSG_SYSTEM_237
33,MSG_SYSTEM_238
34,MSG_SYSTEM_238
35,MSG_SYSTEM_236
36,MSG_SYSTEM_237
37,MSG_SYSTEM_238
38,MSG_SYSTEM_238
39,MSG_SYSTEM_236
40,MSG_SYSTEM_238
41,MSG_SYSTEM_238
